iter	Passed	Remaining
0	173	173351
1	191	95461
2	206	68787
3	223	55644
4	239	47584
5	257	42644
6	271	38548
7	286	35537
8	302	33288
9	320	31744
10	335	30205
11	350	28863
12	365	27730
13	380	26808
14	395	26002
15	411	25316
16	428	24775
17	443	24176
18	459	23701
19	473	23204
20	488	22791
21	504	22432
22	532	22603
23	551	22439
24	567	22139
25	588	22049
26	613	22119
27	639	22208
28	657	22030
29	674	21800
30	690	21571
31	705	21341
32	721	21144
33	740	21051
34	756	20859
35	773	20704
36	789	20546
37	805	20390
38	821	20238
39	835	20059
40	850	19898
41	866	19762
42	882	19641
43	896	19487
44	916	19447
45	936	19414
46	952	19321
47	967	19184
48	982	19063
49	997	18943
50	1012	18847
51	1028	18754
52	1047	18710
53	1063	18633
54	1080	18573
55	1100	18549
56	1120	18540
57	1141	18541
58	1163	18559
59	1183	18540
60	1206	18572
61	1224	18525
62	1240	18455
63	1257	18394
64	1272	18304
65	1287	18222
66	1300	18112
67	1317	18053
68	1333	17997
69	1349	17930
70	1366	17880
71	1381	17810
72	1397	17746
73	1413	17691
74	1428	17621
75	1444	17562
76	1461	17515
77	1479	17484
78	1494	17428
79	1509	17361
80	1524	17299
81	1540	17242
82	1555	17189
83	1572	17145
84	1587	17090
85	1602	17034
86	1622	17026
87	1637	16969
88	1652	16911
89	1666	16854
90	1685	16831
91	1700	16787
92	1715	16734
93	1729	16667
94	1750	16677
95	1774	16710
96	1791	16678
97	1809	16656
98	1826	16624
99	1843	16588
100	1863	16586
101	1885	16602
102	1906	16604
103	1924	16578
104	1953	16654
105	1981	16710
106	2001	16705
107	2019	16682
108	2039	16669
109	2081	16843
110	2099	16813
111	2116	16778
112	2133	16745
113	2151	16719
114	2183	16801
115	2201	16776
116	2219	16748
117	2235	16706
118	2251	16668
119	2268	16633
120	2286	16613
121	2304	16582
122	2320	16545
123	2337	16511
124	2356	16492
125	2375	16475
126	2393	16450
127	2408	16404
128	2423	16364
129	2440	16334
130	2456	16293
131	2472	16261
132	2485	16200
133	2506	16197
134	2518	16136
135	2532	16089
136	2554	16089
137	2570	16057
138	2590	16048
139	2609	16030
140	2627	16007
